artista,album,tipo,fecha_lanzamiento,precision_fecha,total_tracks,anio
Arde Bogotá,Antiaéreo,single,2020-03-02,day,1,2020
Arde Bogotá,Big Bang,single,2020-03-06,day,1,2020
Arde Bogotá,Quiero Casarme Contigo,single,2020-05-08,day,1,2020
Arde Bogotá,El Tiempo y la Actitud,single,2020-06-12,day,5,2020
Arde Bogotá,Abajo,single,2020-10-29,day,1,2020
Arde Bogotá,Millennial,single,2021-03-05,day,1,2021
Arde Bogotá,Cariño,single,2021-04-29,day,1,2021
Arde Bogotá,LA NOCHE,album,2021-05-07,day,10,2021
Arde Bogotá,Mi Carro,single,2021-09-28,day,1,2021
Arde Bogotá,Sin Vergüenza,single,2022-07-07,day,1,2022
Arde Bogotá,Los Perros,single,2023-01-26,day,1,2023
Arde Bogotá,Cowboys de la A3,single,2023-03-10,day,1,2023
Arde Bogotá,Qué Vida Tan Dura,single,2023-04-27,day,1,2023
Arde Bogotá,COWBOYS DE LA A3,album,2023-05-12,day,12,2023
Arde Bogotá,Los Perros (Andres Campo & K-Style Remix),single,2023-06-23,day,1,2023
Arde Bogotá,La Salvación,single,2024-04-10,day,1,2024
Arde Bogotá,De vuelta a casa,single,2024-05-10,day,1,2024
Arde Bogotá,La Torre Picasso,single,2024-09-13,day,1,2024
Arde Bogotá,Flores de Venganza,single,2024-11-22,day,1,2024
Arde Bogotá,Guitarras Blancas,single,2026-05-01,day,1,2026
Arde Bogotá,Instrucciones,single,2026-05-08,day,1,2026
Arde Bogotá,Bigger Splash,single,2026-07-08,day,1,2026
Carolina Durante,La Noche de los Muertos Vivientes,single,2017-10-20,day,1,2017
Carolina Durante,Necromántico,single,2017-12-22,day,3,2017
Carolina Durante,Cayetano,single,2018-03-07,day,1,2018
Carolina Durante,Niña de Hielo,single,2018-04-18,day,1,2018
Carolina Durante,Examiga,single,2018-05-04,day,3,2018
Carolina Durante,El Himno Titular,single,2018-06-25,day,1,2018
Carolina Durante,Perdona (Ahora Sí Que Sí),single,2018-11-23,day,1,2018
Carolina Durante,"Joder, No Sé",single,2019-03-08,day,1,2019
Carolina Durante,Las Canciones De Juanita,single,2019-03-26,day,1,2019
Carolina Durante,Carolina Durante,album,2019-04-26,day,10,2019
Carolina Durante,No Tan Jóvenes,single,2019-12-27,day,2,2019
Carolina Durante,Del Horno A La Boca,single,2020-08-27,day,3,2020
Carolina Durante,Espacio Vacío,single,2020-12-18,day,1,2020
Carolina Durante,Famoso en tres calles,single,2021-05-26,day,1,2021
Carolina Durante,Moreno de contrabando,single,2021-07-15,day,1,2021
Carolina Durante,10,single,2021-08-12,day,1,2021
Carolina Durante,La planta que muere en la esquina,single,2021-10-27,day,1,2021
Carolina Durante,Granja escuela,single,2022-01-25,day,1,2022
Carolina Durante,Cuatro Chavales,album,2022-01-27,day,12,2022
Carolina Durante,Salvaje Pasión,single,2022-04-14,day,1,2022
Carolina Durante,Casa Kira,single,2022-09-14,day,1,2022
Carolina Durante,"Marta, Sebas, Guille y los demás",single,2023-05-29,day,1,2023
Carolina Durante,Ya no hay verano,single,2023-06-29,day,1,2023
Carolina Durante,Markusiano,single,2023-06-29,day,1,2023
Carolina Durante,Joderse La Vida,single,2024-06-27,day,1,2024
Carolina Durante,Yo pensaba que me había tocado Dios,single,2024-07-11,day,1,2024
Carolina Durante,Misil,single,2024-09-26,day,1,2024
Carolina Durante,De viaje,single,2024-10-21,day,1,2024
Carolina Durante,Hamburguesas,single,2024-10-22,day,1,2024
Carolina Durante,Elige Tu Propia Aventura,album,2024-10-24,day,13,2024
Dorian,Solar,single,2003-09-05,day,3,2003
Dorian,10.000 Metrópolis (Edición Deluxe),album,2004-11-30,day,17,2004
Dorian,10.000 Metrópolis,album,2004-11-30,day,9,2004
Dorian,El Futuro No Es De Nadie,album,2007-02-26,day,11,2007
Dorian,Paraísos Artificiales,single,2009-08-30,day,2,2009
Dorian,La Ciudad Subterránea,album,2009-09-13,day,10,2009
Dorian,La Tormenta De Arena (3Msc),single,2010-12-27,day,3,2010
Dorian,Los Amigos Que Perdi,single,2013-02-18,day,1,2013
Dorian,La Velocidad Del Vacío,album,2013-03-04,day,10,2013
Dorian,Armas para Volar,single,2014-10-07,day,1,2014
Dorian,Cualquier Otra Parte,single,2015-03-05,day,1,2015
Dorian,Arrecife,single,2015-03-05,day,1,2015
Dorian,Los Amigos Que Perdí,single,2015-03-24,day,1,2015
Dorian,Diez Años y un Día,album,2015-04-13,day,13,2015
Dorian,Verte Amanecer (En Directo en Arenal Sound),single,2016-06-10,day,1,2016
Dorian,Paraísos Artificiales (En Directo en Arenal Sound),single,2016-06-17,day,1,2016
